Term,args.go,filepathutils.go,filereader.go,invIndex.go,main.go,matrix.go,normilizer.go,rpn.go,tokenizer.go,../is1/files/SampleTextFile_200kb.txt,../is1/files/zbrka-tvorv.fb2,../is1/args.go,../is1/dictionary.go,../is1/dictionary.txt,../is1/file_utils.go,../is1/loader.go,../is1/main.go
celsa,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
chan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
char,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
chardata,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
class,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
close,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0
col,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
comma,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
comma-separated,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
commandargs,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
commodo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
con,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
condimentum,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
congue,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
consectetur,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
consequat,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
const,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
continue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
conubia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
convallis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
coram,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
cras,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
create,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
created,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
createtemp,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
csv,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
csvloader,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
cubilia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cum,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
cuore,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
curabitur,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
curae,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cursus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
custalorum,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
cлужниця,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
d,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
dapibus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
data,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
decoder,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
default,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
defaultdownloader,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
defaultfilereader,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
defaulttokenizer,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
defer,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
depeche,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
des,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
diam,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
dictionary,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
dictum,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
dictumst,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
dignissim,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
dir,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
directories,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
directory,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
dirs,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
dirsflag,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
dis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
dolor,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
donec,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
dui,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
duis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
duration,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
e,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
efficitur,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
egestas,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
eget,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
elapsed,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
eleifend,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
elementum,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
elit,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
else,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
empty,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
encode,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
encoder,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
encoding,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
endelement,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
enim,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
entries,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
entry,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
eof,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
erat,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
eros,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
err,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1
error,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0
errorf,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
errors,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
est,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
et,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
etiam,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
eu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
euismod,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ex,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
executequery,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
execution,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
exists,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ext,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0
extension,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
extensions,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
exts,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
extsflag,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
extsmap,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
exttoloader,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
f,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
facilisi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
facilisis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
false,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
fames,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
fatal,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
faucibus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
fb,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
fb2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
fb2downloader,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
felis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
fermentum,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
feugiat,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
fieldsfunc,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
file,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0
filedata,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
fileindex,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
fileindexes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
fileinfo,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
filename,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
filenames,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
filepath,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0
filereader,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
files,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
filesfromdir,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
findallstring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
finibus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
firstoperand,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
fitelicet,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
flag,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
flush,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
fmt,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
for,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0
format,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
found,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
fringilla,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
func,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1
fusce,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
fіnеm,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
g,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
garson,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
genitivo,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
getfilesbyvector,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
getfilesbyvectorfromindex,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
getfilesfromdirectories,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
getfilesfromdirectory,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
getterms,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
gettxtfilepaths,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
give',1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
go,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gravida,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
h,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
habitant,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
habitasse,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hac,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
haec,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
hanc,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
harum,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
hendrerit,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hic,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
hie,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
high,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
himenaeos,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hinc,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
hoc,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
hone,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
honorato,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
horum,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
hujus,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
hunc,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
hі,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
i,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0
iaculis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ibat,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
id,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
if,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1
il,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
imperdiet,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
import,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1
imprimendum,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
imprimis,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
in,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
inbody,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
inceptos,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
index,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
indexes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
indexfiles,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
indexof,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
indextopath,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
infixnotation,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
infixtorpn,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
info,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
int,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0
int64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
integer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
interdum,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
interface,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
ints,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
invalid,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
inverted,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
invertedindex,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
io,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
iota,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ipsum,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
is,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
isbn,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
isdigit,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
isdir,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
isletter,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
isvalidargs,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
j,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
join,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
joublie,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
json,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
jsonloader,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
justo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
kb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
key,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
lacinia,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
lacus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
laoreet,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
lapis,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
lectus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
leftpad,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
len,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1
length,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
length-len,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
leo,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
libero,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ligula,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
like,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
line,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
lines,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
litora,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
loadcsv,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
loader,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
loadinvertedindex,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
loadjsontomap,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
lobortis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
local,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
log,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1
lorem,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
low,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
lowercasenormalizer,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
luctus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
maecenas,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
magna,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
magnis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
main,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1
make,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1
makedictionary,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
mal,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
malesuada,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
map,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,1,1
massa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
math,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
matrix,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mattis,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
mauris,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
